pixelNum	jNum	regNum	row	col	cableNum	chNum	readNum	bitNum
1	1	111	0	3	13	2	62	26
2	1	113	0	3	7	4	60	28
3	1	115	0	3	3	6	58	30
4	1	109	0	3	17	0	64	24
5	6	85	1	2	22	0	24	48
6	5	117	1	3	2	0	32	56
7	5	119	1	3	6	2	30	58
8	5	121	1	3	12	4	28	60
9	1	112	0	3	11	3	61	27
10	1	114	0	3	5	5	59	29
11	1	116	0	3	1	7	57	31
12	2	77	0	2	21	0	56	16
13	5	124	1	3	18	7	25	63
14	5	118	1	3	4	1	31	57
15	5	120	1	3	8	3	29	59
16	5	122	1	3	14	5	27	61
17	1	110	0	3	15	1	63	25
18	2	82	0	2	33	5	51	21
19	2	80	0	2	27	3	53	19
20	2	79	0	2	25	2	54	18
21	6	89	1	2	32	4	20	52
22	6	87	1	2	0	2	22	50
23	6	90	1	2	34	5	19	53
24	6	92	1	2	38	7	17	55
25	2	83	0	2	35	6	50	22
26	2	78	0	2	23	1	55	17
27	2	81	0	2	31	4	52	20
28	2	84	0	2	37	7	49	23
29	6	88	1	2	28	3	21	51
30	6	86	1	2	24	1	23	49
31	6	91	1	2	36	6	18	54
32	5	123	1	3	16	6	26	62
33	4	19	0	0	63	6	34	6
34	3	47	0	1	45	2	46	10
35	3	49	0	1	51	4	44	12
36	3	48	0	1	47	3	45	11
37	7	58	1	1	54	5	11	45
38	7	56	1	1	48	3	13	43
39	7	54	1	1	44	1	15	41
40	7	59	1	1	56	6	10	46
41	3	46	0	1	43	1	47	9
42	3	51	0	1	55	6	42	14
43	3	50	0	1	53	5	43	13
44	3	45	0	1	41	0	48	8
45	7	57	1	1	52	4	12	44
46	7	55	1	1	46	2	14	42
47	7	53	1	1	42	0	16	40
48	8	22	1	0	64	1	7	33
49	4	18	0	0	65	5	35	5
50	4	16	0	0	71	3	37	3
51	4	14	0	0	75	1	39	1
52	4	20	0	0	61	7	33	7
53	7	60	1	1	58	7	9	47
54	8	28	1	0	78	7	1	39
55	8	26	1	0	74	5	3	37
56	8	24	1	0	68	3	5	35
57	4	17	0	0	67	4	36	4
58	4	15	0	0	73	2	38	2
59	4	13	0	0	77	0	40	0
60	3	52	0	1	57	7	41	15
61	8	21	1	0	62	0	8	32
62	8	27	1	0	76	6	2	38
63	8	25	1	0	72	4	4	36
64	8	23	1	0	66	2	6	34
